sucursal,modelo,talla,fecha,hora,cantidad,precio_unitario,descuento_pct,metodo_pago,tipo_cliente,vendedor
Nuevo_Leon_Monterrey,Gran Prix,23,2024-02-04,03:49:31,3,1348,0,transferencia,nuevo,Norma
CDMX_San_Jacinto,Flip,27,2021-10-12,18:50:36,4,1003,10,tarjeta_credito,recurrente,Rosalia
EdoMex_Chimalhuacan,Urbano,26,2023-11-29,10:31:04,3,782,30,transferencia,recurrente,Irma
EdoMex_Nicolas_Romero,084 Campeón,26,2026-03-22,00:40:41,4,1390,5,transferencia,nuevo,María Eugenia
CDMX_Centro,Gran Prix,25,2024-05-24,07:35:01,1,741,5,efectivo,recurrente,Diego
EdoMex_Toluca_Grand_Plaza,084 Clásico,28,2024-01-20,08:04:19,2,909,0,mercado_pago,nuevo,Lorena
CDMX_Metrobus_Chilpancingo,084 Diamante,23,2023-03-22,04:20:36,3,2094,0,tarjeta_credito,recurrente,José Luis
EdoMex_Toluca_Grand_Plaza,Flip,29,2025-10-11,06:00:19,5,973,20,tarjeta_credito,nuevo,Daniel
CDMX_Rep_del_Salvador,084 Clásico,25,2025-08-24,04:46:53,3,1163,15,tarjeta_debito,recurrente,Jaime
Nuevo_Leon_Monterrey,SuperFaro,25,2024-11-20,00:52:05,3,2194,20,transferencia,recurrente,María Cristina
CDMX_20_de_Noviembre,Gran Prix,26,2025-12-01,07:05:24,2,767,0,transferencia,recurrente,Conchita
CDMX_Metrobus_Chilpancingo,084 Clásico,25,2022-02-17,10:44:39,4,883,0,mercado_pago,nuevo,Andrea
Quintana_Roo_Playa_del_Carmen,Vaivén,17,2023-03-26,00:30:40,3,851,15,efectivo,nuevo,Marco Antonio
EdoMex_Tepeyac,084,17,2024-03-03,21:48:55,3,1398,20,mercado_pago,recurrente,Alma
CDMX_Huipulco,Caimán,27,2024-06-01,17:49:22,3,1121,0,efectivo,nuevo,Sergio
Michoacan_Morelia_Centro,Vital,24,2023-03-17,11:14:51,1,1232,5,efectivo,nuevo,Rebeca
CDMX_Mixcoac,Flip,22,2025-11-10,23:39:06,1,1381,20,transferencia,nuevo,Guillermina
Michoacan_Morelia_Centro,Barracuda,24,2026-02-14,18:56:04,3,1013,0,tarjeta_credito,nuevo,Susana
CDMX_Centro,Gran Prix,26,2021-06-04,03:14:18,1,748,0,efectivo,recurrente,Gabino
CDMX_Metrobus_Chilpancingo,Vaivén,25,2024-04-16,18:57:38,2,864,20,efectivo,vip,Estefanía
EdoMex_Plaza_Aragon,Panam Alfa,17,2023-05-24,12:25:24,3,1619,0,mercado_pago,recurrente,Socorro
EdoMex_Zumpango,Perestroika,17,2023-06-04,07:51:28,1,1288,0,tarjeta_debito,nuevo,Aurelio
EdoMex_Tenayuca,Flip,25,2024-01-29,21:35:05,4,851,5,efectivo,vip,Carla
Coahuila_Saltillo,Barracuda,17,2022-04-25,00:34:02,2,725,10,mercado_pago,recurrente,Carmen
CDMX_Zona_Rosa,Perestroika,26,2023-07-13,23:33:55,3,1259,0,mercado_pago,recurrente,Margarita
CDMX_San_Jacinto,Flip,24,2023-10-03,12:02:44,1,1002,15,transferencia,vip,Alvaro
CDMX_Centro,Panam Alfa,25,2025-09-29,15:14:41,2,1952,5,tarjeta_credito,recurrente,Bianca
EdoMex_Patio_Valle_De_Chalco,084 Campeón,15,2025-09-21,16:27:00,3,1264,0,efectivo,nuevo,Julia
Puebla_Centro,Vital,25,2025-02-20,01:55:02,2,794,5,efectivo,recurrente,Inés
EdoMex_Tepeyac,Vital,24,2021-09-21,00:36:13,1,984,0,efectivo,recurrente,Silvano
CDMX_Del_Valle,Perestroika,26,2022-12-26,21:33:04,1,1189,20,efectivo,recurrente,Adriana
Puebla_Centro,084 Campeón,24,2025-09-20,09:33:11,2,1069,10,efectivo,recurrente,Emilio
EdoMex_Zumpango,Gran Prix,25,2022-03-01,21:49:01,6,712,0,efectivo,nuevo,Joaquín
CDMX_San_Cosme,Perestroika,24,2025-12-04,05:05:51,2,1189,0,tarjeta_credito,nuevo,Luz
CDMX_La_Villa,Caimán,23,2021-05-30,13:23:42,3,1395,0,transferencia,vip,Rosalia
CDMX_Insurgentes,Caimán,26,2021-11-27,04:43:11,1,1524,0,transferencia,recurrente,Luis Miguel
CDMX_Madero,Panam Alfa,16,2023-03-01,02:16:36,4,1986,20,mercado_pago,nuevo,Dulce María
CDMX_La_Villa,RL15,17,2022-03-26,16:07:54,2,1119,0,efectivo,recurrente,Luis
EdoMex_Tenayuca,Panam Alfa,20,2025-12-03,12:38:50,2,1890,0,tarjeta_debito,nuevo,Elvia
CDMX_Insurgentes,Barracuda,24,2021-12-17,20:28:50,7,1011,15,tarjeta_debito,recurrente,Iván
CDMX_Universidad,084,27,2021-07-20,13:56:05,1,857,0,efectivo,recurrente,Florencia
CDMX_Satelite,SuperFaro,15,2024-03-03,09:16:42,2,2181,0,efectivo,recurrente,Augusto
CDMX_Mixcoac,Vital,16,2022-02-03,16:49:06,4,983,15,mercado_pago,nuevo,Diego
CDMX_Mixcoac,Gran Prix,23,2021-10-23,09:18:28,2,1279,10,transferencia,recurrente,José Carlos
CDMX_Del_Valle,SuperFaro,24,2023-06-29,10:24:32,1,1622,5,tarjeta_debito,recurrente,Mariana
EdoMex_Nezahualcoyotl,Ultra,19,2021-12-12,15:19:47,1,1159,0,efectivo,recurrente,Miriam
EdoMex_Americas_Ecatepec,Panam Alfa,24,2023-04-15,01:16:31,1,1554,0,efectivo,recurrente,Rafaél
CDMX_Insurgentes,Gran Prix,15,2024-10-25,06:05:23,1,998,20,tarjeta_debito,nuevo,Carolina
Hidalgo_Tula,Urbano,25,2025-03-09,09:09:16,1,887,0,tarjeta_debito,nuevo,Ruby
Michoacan_Uruapan,Flip,25,2024-10-15,08:37:02,2,1008,0,tarjeta_credito,recurrente,Elsa
EdoMex_Sendero_Ixtapaluca,084 Diamante,27,2024-01-15,19:35:51,2,1860,0,efectivo,recurrente,Alejandro
CDMX_La_Villa,Gran Prix,25,2024-08-29,22:09:04,6,1121,5,mercado_pago,nuevo,Yolanda
Puebla_Centro,Urbano,19,2022-05-10,08:18:14,1,926,0,tarjeta_credito,recurrente,Luz
CDMX_Regina,084 Diamante,28,2021-05-26,02:38:33,1,1578,0,transferencia,vip,Socorro
Michoacan_Morelia_Centro,SuperFaro,22,2021-11-20,06:07:24,3,1871,0,transferencia,recurrente,Natalia
Hidalgo_Tula,Flip,16,2021-09-26,04:46:09,4,1011,0,tarjeta_credito,nuevo,Diego
EdoMex_Toluca_Grand_Plaza,Panam Alfa,27,2024-05-23,02:50:31,4,1645,0,efectivo,nuevo,Josefina
CDMX_Rep_del_Salvador,084 Clásico,24,2022-04-02,12:49:35,3,814,0,efectivo,recurrente,Santiago
EdoMex_Atlacomulco,Caimán,19,2023-11-30,01:07:27,2,1210,0,tarjeta_credito,recurrente,Paola
EdoMex_Sendero_Toluca,084 Campeón,24,2022-01-31,13:05:01,3,959,0,efectivo,recurrente,Rubén
Puebla_Centro,084 Diamante,23,2025-01-26,14:17:09,4,2116,0,tarjeta_debito,nuevo,Carla
CDMX_Del_Valle,Gran Prix,12,2024-09-16,08:34:00,1,849,0,mercado_pago,nuevo,Verónica
CDMX_5_de_Mayo,Vaivén,27,2021-08-11,12:49:46,3,1327,0,tarjeta_debito,nuevo,Guadalupe
CDMX_Satelite,084,26,2022-09-05,11:06:35,5,896,0,efectivo,recurrente,Luz
CDMX_Centro,084,27,2023-03-21,21:09:49,4,801,0,mercado_pago,recurrente,Héctor
EdoMex_Patio_Valle_De_Chalco,SuperFaro,24,2024-09-03,13:18:20,1,2103,0,efectivo,vip,María del Carmen
EdoMex_Toluca_Grand_Plaza,Vaivén,24,2023-11-10,05:58:32,2,1088,10,efectivo,nuevo,Sandra
EdoMex_Atlacomulco,084 Diamante,23,2022-07-29,09:50:15,1,1821,0,tarjeta_debito,recurrente,Teodoro
CDMX_5_de_Mayo,SuperFaro,26,2024-07-10,01:24:51,10,1795,20,tarjeta_credito,nuevo,Agustín
CDMX_Centro,SuperFaro,14,2026-01-21,12:32:29,2,1790,15,tarjeta_debito,nuevo,María Teresa
CDMX_Metrobus_Durango,Perestroika,21,2022-07-21,00:23:12,1,1517,0,mercado_pago,nuevo,Gerónimo
EdoMex_Americas_Ecatepec,084 Clásico,27,2021-09-14,13:37:05,5,1187,5,efectivo,vip,Abraham
EdoMex_Chimalhuacan,SuperFaro,27,2026-03-22,03:46:50,3,1905,15,tarjeta_debito,recurrente,Norma
CDMX_Mixcoac,084 Diamante,21,2024-09-13,03:38:53,2,1910,30,mercado_pago,recurrente,Marcela
CDMX_Pino_Suarez,Vaivén,16,2026-01-02,21:14:36,2,903,5,efectivo,recurrente,Enrique
Morelos_Cuernavaca,RL15,21,2023-12-10,10:12:22,5,1134,15,efectivo,recurrente,Luis Miguel
CDMX_Tacubaya,Ultra,26,2024-04-10,02:13:27,1,1509,5,tarjeta_debito,recurrente,Manuel
CDMX_Plaza_Ermita,RL15,25,2024-11-09,20:32:10,2,1223,0,efectivo,recurrente,Soledad
Puebla_Tehuacan,084 Diamante,21,2025-09-16,05:29:10,2,2009,0,tarjeta_debito,nuevo,Horacio
CDMX_Centro,084 Diamante,26,2022-09-19,20:24:50,2,1569,15,tarjeta_credito,vip,José Luis
CDMX_Mixcoac,RL15,28,2023-03-24,17:55:52,1,1034,0,efectivo,recurrente,Raquel
CDMX_Plaza_Ermita,084 Clásico,25,2023-07-02,00:34:48,1,1232,15,tarjeta_credito,nuevo,Julio
CDMX_Centro,SuperFaro,25,2022-04-28,21:39:48,3,1767,20,efectivo,recurrente,José Eduardo
CDMX_Huipulco,084,24,2026-03-05,07:11:32,3,732,10,transferencia,nuevo,Carlos
CDMX_Del_Valle,Perestroika,24,2026-01-07,00:05:32,6,1485,15,tarjeta_debito,nuevo,Francisca
EdoMex_Atlacomulco,Barracuda,25,2026-01-09,12:45:04,3,868,15,efectivo,nuevo,Diego
CDMX_Universidad,RL15,27,2023-10-27,19:25:14,3,812,30,tarjeta_credito,recurrente,Yeni
EdoMex_Zumpango,SuperFaro,25,2021-12-03,01:43:05,2,1660,20,efectivo,nuevo,Pascual
CDMX_20_de_Noviembre,RL15,25,2022-03-08,21:17:20,1,1061,0,efectivo,nuevo,Leonardo
EdoMex_Nezahualcoyotl,084 Campeón,18,2026-04-15,15:08:12,2,1075,5,transferencia,recurrente,Inés
CDMX_Satelite,Flip,24,2024-02-29,16:49:13,4,1138,5,mercado_pago,nuevo,Antonia
CDMX_San_Jacinto,084 Campeón,28,2022-06-10,03:12:03,3,953,0,tarjeta_debito,recurrente,Yeni
CDMX_La_Villa,084 Clásico,25,2023-05-06,10:49:25,1,817,5,efectivo,recurrente,Felipe
CDMX_Universidad,084 Campeón,28,2023-10-10,16:09:11,1,1132,30,tarjeta_debito,nuevo,Reina
Quintana_Roo_Playa_del_Carmen,084,24,2021-12-10,16:06:52,2,1302,0,mercado_pago,nuevo,Julio
CDMX_Plaza_Ermita,RL15,24,2024-01-20,02:37:25,1,800,15,efectivo,recurrente,Indira
CDMX_5_de_Mayo,Flip,27,2025-03-07,21:23:12,1,1383,5,efectivo,nuevo,Alicia
CDMX_Metrobus_Durango,Caimán,17,2023-12-13,11:36:12,4,1177,20,efectivo,nuevo,Natalia
Morelos_Cuernavaca,Barracuda,23,2022-08-24,06:10:43,4,1111,0,tarjeta_debito,vip,Martha
EdoMex_Tenayuca,084 Diamante,28,2026-03-03,23:04:24,4,1779,0,tarjeta_debito,recurrente,Asunción
CDMX_Madero,Caimán,16,2024-01-15,14:17:48,6,1178,0,tarjeta_debito,nuevo,Elisa
EdoMex_Patio_Valle_De_Chalco,Flip,15,2022-10-13,17:27:37,2,1111,0,tarjeta_debito,recurrente,Abraham
CDMX_Universidad,Vaivén,24,2024-01-05,21:46:26,3,1342,20,transferencia,recurrente,Oswaldo
CDMX_Centro,Urbano,28,2023-03-27,00:56:26,2,1178,0,mercado_pago,recurrente,Socorro
CDMX_Zona_Rosa,Caimán,24,2025-01-21,18:33:16,2,1161,20,efectivo,recurrente,Rodolfo
CDMX_Satelite,Vital,17,2024-05-28,16:00:22,2,1007,10,efectivo,recurrente,Gustavo
CDMX_Metrobus_Chilpancingo,084 Clásico,24,2024-03-02,21:54:44,3,1122,0,transferencia,recurrente,Hermelinda
Hidalgo_Tula,Ultra,25,2025-04-14,19:15:47,5,1341,10,efectivo,nuevo,Estefanía
CDMX_Madero,084,16,2024-05-26,08:29:57,2,1017,15,tarjeta_debito,vip,Vicente
EdoMex_Toluca,Caimán,25,2025-06-28,18:00:18,1,1137,0,efectivo,nuevo,María José
Puebla_Tehuacan,Ultra,22,2022-04-10,21:56:11,3,1384,20,efectivo,recurrente,Jos
CDMX_Del_Valle,SuperFaro,25,2022-01-17,11:11:18,3,1556,0,efectivo,nuevo,Rolando
CDMX_La_Villa,084 Clásico,26,2022-07-16,18:04:04,4,1116,5,tarjeta_credito,recurrente,Marcela
Chihuahua_Sendero,RL15,25,2023-01-08,01:48:48,3,843,0,efectivo,recurrente,Ramón
CDMX_Condesa,084 Diamante,23,2021-12-31,08:14:06,1,2094,20,efectivo,recurrente,Eduardo
CDMX_20_de_Noviembre,Vital,27,2021-07-04,15:57:43,3,1020,5,transferencia,recurrente,Judith
EdoMex_Americas_Ecatepec,Vital,24,2021-08-12,16:47:49,1,923,0,efectivo,nuevo,Nadia
EdoMex_Sendero_Toluca,Ultra,25,2026-04-10,08:45:30,4,1360,30,efectivo,recurrente,Cristal
Chihuahua_Sendero,084 Diamante,24,2023-02-27,19:22:23,5,1933,15,tarjeta_credito,vip,Arturo
Puebla_Centro,Panam Alfa,26,2026-01-15,12:37:00,2,1876,0,efectivo,vip,Ramiro
CDMX_San_Cosme,084 Campeón,25,2025-12-21,06:47:48,1,1378,0,tarjeta_credito,recurrente,Margarita
CDMX_Pino_Suarez,Vital,16,2025-05-13,13:24:31,1,1093,0,tarjeta_debito,recurrente,Teresa
CDMX_Condesa,084 Diamante,25,2022-08-12,13:39:56,3,1742,15,efectivo,vip,Aurora
EdoMex_Texcoco,RL15,26,2024-09-08,05:35:06,2,961,0,efectivo,recurrente,Mateo
Puebla_Centro,Vital,17,2023-10-28,21:15:25,2,864,15,tarjeta_debito,recurrente,Gustavo
EdoMex_Sendero_Ixtapaluca,Caimán,25,2025-04-20,13:24:56,4,1380,0,transferencia,vip,Jaqueline
CDMX_La_Villa,SuperFaro,30,2025-09-09,13:51:49,3,1840,10,transferencia,recurrente,Espartaco
Quintana_Roo_Playa_del_Carmen,Vaivén,25,2024-09-21,13:13:58,3,1218,0,efectivo,recurrente,Asunción
CDMX_Madero,Flip,23,2025-08-14,23:05:34,6,728,0,tarjeta_debito,nuevo,Agustín
EdoMex_Texcoco,Perestroika,22,2023-05-19,23:01:50,1,1239,0,efectivo,recurrente,Pilar
CDMX_Metrobus_Chilpancingo,Flip,25,2022-10-05,00:58:41,4,813,0,efectivo,recurrente,Laura
CDMX_Plaza_Ermita,Panam Alfa,29,2022-07-17,21:35:03,6,1920,5,tarjeta_debito,recurrente,Estefanía
CDMX_Huipulco,Panam Alfa,19,2022-09-14,11:16:15,3,2107,5,tarjeta_credito,nuevo,José Carlos
CDMX_Zona_Rosa,Caimán,24,2026-03-02,09:26:40,4,1502,10,mercado_pago,recurrente,Martha
EdoMex_Nezahualcoyotl,Vital,19,2022-08-05,00:10:42,1,723,20,tarjeta_debito,recurrente,Ilse
CDMX_5_de_Mayo,084 Clásico,23,2024-05-26,12:31:18,1,903,0,tarjeta_credito,nuevo,Aurelio
CDMX_Tacubaya,RL15,23,2023-03-18,15:07:21,3,1314,0,efectivo,vip,Inés
CDMX_Plaza_Ermita,Vaivén,24,2023-04-27,19:18:45,4,820,0,tarjeta_credito,nuevo,Cristian
CDMX_Condesa,Perestroika,24,2023-08-07,02:40:56,4,1606,0,efectivo,nuevo,Beatriz
CDMX_5_de_Mayo,Ultra,18,2023-05-04,20:29:02,2,1606,10,efectivo,recurrente,Benito
Puebla_Centro,Urbano,27,2023-02-09,04:58:46,1,989,0,efectivo,nuevo,Leticia
CDMX_San_Jacinto,Panam Alfa,14,2024-06-03,03:38:28,1,1768,0,tarjeta_debito,vip,Carolina
CDMX_Rep_del_Salvador,Gran Prix,23,2025-05-06,00:14:07,4,1362,15,efectivo,recurrente,Eugenia
CDMX_Centro,Flip,26,2021-09-29,01:24:53,2,1107,0,tarjeta_credito,recurrente,Aurelio
EdoMex_Tenayuca,Ultra,18,2024-02-08,15:16:50,2,1670,0,efectivo,vip,Felix
CDMX_Centro,SuperFaro,25,2025-10-13,15:10:05,1,2120,30,tarjeta_credito,recurrente,Sandra
CDMX_Rep_del_Salvador,084,20,2023-09-04,12:04:31,3,1334,10,efectivo,nuevo,Ramón
CDMX_Pino_Suarez,Gran Prix,15,2026-04-09,12:40:26,4,1272,0,tarjeta_debito,nuevo,María Cristina
EdoMex_Americas_Ecatepec,SuperFaro,26,2026-03-14,05:00:33,2,1979,0,efectivo,recurrente,Jos
CDMX_Satelite,Caimán,21,2024-07-21,00:33:36,6,1219,5,efectivo,nuevo,Teresa
CDMX_Polanco,Ultra,22,2024-07-26,19:10:24,3,1540,0,mercado_pago,nuevo,Aurora
CDMX_Regina,Ultra,25,2026-05-07,15:17:46,1,1546,0,efectivo,vip,Teresa
Michoacan_Uruapan,Panam Alfa,26,2022-01-04,14:46:09,2,2173,15,efectivo,nuevo,Leonor
EdoMex_Tenayuca,Vital,19,2023-06-28,10:25:46,1,1181,0,efectivo,recurrente,Blanca
EdoMex_Toluca_Grand_Plaza,084 Diamante,28,2023-03-31,07:21:36,2,2006,0,efectivo,vip,Leonor
EdoMex_Atlacomulco,SuperFaro,27,2024-10-19,16:34:29,1,1615,0,efectivo,nuevo,Ángela
CDMX_Pino_Suarez,Barracuda,18,2024-04-13,18:15:42,2,872,20,transferencia,recurrente,Inés
CDMX_La_Villa,Urbano,22,2025-06-13,15:31:14,1,704,20,tarjeta_credito,nuevo,Pamela
EdoMex_Patio_Valle_De_Chalco,084 Clásico,13,2021-05-28,06:44:45,1,1210,0,transferencia,nuevo,Jaqueline
EdoMex_Zumpango,084 Diamante,29,2022-07-13,13:00:53,3,2104,0,transferencia,nuevo,Esmeralda
CDMX_Del_Valle,084 Clásico,24,2022-10-04,07:15:07,5,1375,15,tarjeta_debito,vip,Maximiliano
EdoMex_Sendero_Ixtapaluca,084,24,2022-01-02,06:54:05,2,744,30,mercado_pago,nuevo,Laura
Coahuila_Saltillo,Panam Alfa,16,2023-09-27,05:27:41,1,1549,0,efectivo,nuevo,Manuel
EdoMex_Nicolas_Romero,084 Clásico,23,2022-08-17,13:31:25,6,1316,10,efectivo,nuevo,José Manuél
EdoMex_Toluca,Vital,27,2022-09-08,16:12:05,2,1108,0,efectivo,nuevo,Ariadna
Hidalgo_Tula,RL15,27,2022-05-10,10:07:39,1,991,0,efectivo,recurrente,Verónica
CDMX_Zona_Rosa,Caimán,26,2023-04-23,10:39:15,1,1417,30,efectivo,recurrente,Débora
CDMX_Pino_Suarez,Gran Prix,27,2024-02-27,18:07:48,4,1201,15,transferencia,recurrente,Gabino
CDMX_Centro,Caimán,17,2025-06-11,19:16:14,2,1532,5,tarjeta_debito,nuevo,Yuridia
EdoMex_Plaza_Aragon,Caimán,18,2025-06-03,09:47:40,1,1625,5,mercado_pago,recurrente,Hermelinda
EdoMex_Chalco,Panam Alfa,25,2023-02-21,10:00:44,4,2039,20,efectivo,recurrente,Nelly
EdoMex_Chimalhuacan,084 Clásico,24,2022-09-20,18:10:46,3,1189,0,efectivo,nuevo,Sonia
EdoMex_Patio_Valle_De_Chalco,Barracuda,26,2024-11-04,09:39:09,1,1235,10,efectivo,nuevo,Alonso
Hidalgo_Tula,084 Clásico,22,2023-06-03,20:09:43,1,1225,0,tarjeta_debito,nuevo,Benjamín
EdoMex_Toluca_Grand_Plaza,Perestroika,22,2022-06-09,02:35:31,1,1682,0,efectivo,recurrente,Minerva
EdoMex_Sendero_Toluca,084,16,2022-09-20,09:26:47,2,1377,15,efectivo,nuevo,Gustavo
CDMX_Mixcoac,RL15,18,2025-09-16,12:12:22,1,1126,0,efectivo,recurrente,Aurelio
CDMX_5_de_Mayo,Perestroika,24,2026-03-20,18:16:43,3,1371,5,mercado_pago,recurrente,Ignacio
CDMX_Satelite,Vaivén,19,2021-10-28,11:53:18,3,780,30,efectivo,recurrente,Joaquín
CDMX_Zona_Rosa,Caimán,28,2023-07-19,04:01:17,1,1105,10,efectivo,nuevo,José Eduardo
