usuario,usuario_seguidores,modelo,color,calificacion,comentario,fuente,likes,verificado,respondido_marca,fecha,intencion_plantilla,sentimiento_calculado,score_sentimiento,n_palabras_positivas,n_palabras_negativas,n_emojis_positivos,n_emojis_negativos,tiene_caps,n_exclamaciones,amplificador,es_influencer,urgencia,acierto
yanezdaniel,1221,Flip,verde,5,Bonitos los Flip 👌 buen precio para la calidad,instagram,83,False,False,2023-05-07 01:35:42,positivo,positivo,0.722,2,0,1,0,False,0,1.0,False,False,True
kcasares,415,Caimán,gris,3,"Regulares los Caimán, esperaba un poquito más pero también un poquito menos",google_reviews,24,True,False,2023-06-10 06:40:06,neutro,negativo,-0.833,0,1,0,0,False,0,1.0,False,False,False
bonilladiana,329543,Vital,rosa,2,Pésima atención y los Vital llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,google_reviews,79,True,False,2026-04-23 17:16:53,negativo,negativo,-0.792,0,2,0,2,False,0,1.0,True,True,True
ramiro35,31,084 Diamante,gris,3,"Normales los 084 Diamante, ni bien ni mal 🤷‍♂️",facebook,12,True,False,2023-05-17 21:14:10,neutro,neutro,0.0,0,0,0,0,False,0,1.0,False,False,True
citlali24,92,Panam Alfa,azul,5,Bonitos los Panam Alfa 👌 buen precio para la calidad,instagram,39,False,False,2025-03-26 20:39:24,positivo,positivo,0.722,2,0,1,0,False,0,1.0,False,False,True
diego07,57,Vaivén,verde,5,"Cumple lo prometido, los Vaivén están bien para el uso diario 👍🏼",instagram,6,False,False,2026-02-18 11:22:11,positivo,positivo,0.611,1,0,2,0,False,0,1.0,False,False,True
benavidesmarcela,1310,Barracuda,rosa,1,NO LOS COMPREN!! Mis Barracuda se despegaron en una semana 😤 estafa total,amazon,12,True,True,2023-02-27 13:27:31,negativo,negativo,-1.0,0,2,0,1,True,2,1.6,False,False,True
guillermo51,162,084,rosa,2,BASURA los 084 🤮 me lastimaron los pies horrible 👎 nunca más,tiktok,38,True,False,2023-06-04 06:41:15,negativo,negativo,-0.98,0,3,0,2,True,0,1.2,False,False,True
rufino27,40,Ultra,negro,1,Decepción total los Ultra 😞 se ven baratos y se rompen aún más rápido 👎,tiktok,186,True,False,2025-12-19 00:47:17,negativo,negativo,-0.312,1,1,0,2,False,0,1.0,False,True,True
perla80,39,084 Clásico,verde,1,"Los 084 Clásico no me convencieron, son muy regulares para el precio 🤷‍♀️",facebook,28,False,False,2026-01-23 09:39:54,negativo,negativo,-0.833,0,1,0,0,False,0,1.0,False,False,True
victoria12,816,084,blanco,4,Mejor compra del año!! Los 084 son una BELLEZA 🔥🔥🔥 #PanamForever,amazon,164,True,False,2023-08-05 23:31:47,positivo,positivo,1.0,1,0,3,0,True,2,1.4,False,False,True
carbajalmaria-luisa,13,Vital,gris,3,"Normales los Vital, ni bien ni mal 🤷‍♂️",tiktok,2,True,True,2022-09-01 06:33:27,neutro,neutro,0.0,0,0,0,0,False,0,1.0,False,False,True
ruben93,76,Vaivén,blanco,5,"Buenos los Vaivén, me gustaron 👍 cumplen lo prometido",amazon,62,True,False,2024-04-05 14:31:43,positivo,positivo,0.75,3,0,1,0,False,0,1.0,False,False,True
sandrajaime,10345,084 Clásico,beige,1,BASURA los 084 Clásico 🤮 me lastimaron los pies horrible 👎 nunca más,tiktok,27,False,True,2025-08-23 13:33:08,negativo,negativo,-0.98,0,3,0,2,True,0,1.2,True,False,True
dheredia,1170,084 Diamante,rosa,4,Por fin unos tenis que duran! Los 084 Diamante ya tienen 8 meses y siguen como nuevos 💪,amazon,70,True,True,2022-02-17 01:47:37,positivo,positivo,0.55,0,0,1,0,False,1,1.1,False,False,True
clebron,360,084 Campeón,blanco,5,Excelentísimos los 084 Campeón ✨ los uso para correr y son perfectos 🏃‍♂️💨,facebook,32,False,False,2021-05-17 07:54:25,positivo,positivo,0.5,1,0,3,0,False,0,1.0,False,False,True
gregorio42,698,Panam Alfa,verde,3,"Cumple lo prometido, los Panam Alfa están bien para el uso diario 👍🏼",facebook,32,True,False,2025-02-07 01:09:53,positivo,positivo,0.611,1,0,2,0,False,0,1.0,False,False,True
avalentin,3884,084 Diamante,rosa,5,"Me gustaron los 084 Diamante, cómodos y bonitos para diario 🙂",google_reviews,50,True,True,2022-04-18 21:26:33,positivo,positivo,0.708,3,0,1,0,False,0,1.0,False,False,True
cordovamaria-del-carmen,8,084 Diamante,beige,4,"Buenos los 084 Diamante, me gustaron 👍 cumplen lo prometido",tiktok,49,False,False,2021-08-26 05:58:26,positivo,positivo,0.75,3,0,1,0,False,0,1.0,False,False,True
nancy82,20,RL15,beige,2,"Incomodísimos los RL15, me lastimaron los pies después de 1 hr 😣",twitter,3,True,False,2024-12-31 14:44:30,negativo,negativo,-0.722,0,2,0,1,False,0,1.0,False,False,True
benitomanzanares,373,084,gris,1,Horrible calidad los 084 😠 ni para regalar #malacompra #panam,google_reviews,44,True,True,2024-06-12 05:54:31,negativo,negativo,-0.25,1,1,0,1,False,0,1.0,False,False,True
munizluis-miguel,3540,Vaivén,rojo,2,Excelente diseño los Vaivén pero algo caros para la calidad real 💸,instagram,30,True,False,2023-06-20 13:48:25,mixto,positivo,0.278,2,1,0,0,False,0,1.0,False,False,True
morenomarisela,12,Perestroika,rosa,1,Terrible experiencia con los Perestroika 💔 mala calidad y peor servicio al cliente 😡,facebook,24,True,False,2024-10-19 21:12:56,negativo,negativo,-0.542,1,3,0,2,False,0,1.0,False,False,True
nicolascuriel,260,Caimán,rosa,3,Bonitos los Caimán pero la suela se desgasta rapidísimo 🤔 no sé qué pensar,twitter,3,True,False,2022-11-07 09:30:10,mixto,positivo,0.278,2,1,0,0,False,0,1.0,False,False,True
lalvarado,42,Gran Prix,azul,5,MARAVILLOSOS los Gran Prix 😍 como caminar en nubes ☁️☁️ los amo,twitter,1,True,True,2024-03-03 09:03:53,positivo,positivo,0.76,2,0,3,0,True,0,1.2,False,False,True
rguzman,303,084 Clásico,rosa,2,"Compré los 084 Clásico, son tenis. Punto.",facebook,14,False,False,2022-09-12 22:10:22,neutro,neutro,0.0,0,0,0,0,False,0,1.0,False,False,True
olivasaugusto,37,Ultra,negro,4,"Regulares los Ultra, esperaba un poquito más pero también un poquito menos",google_reviews,24,True,True,2025-05-07 16:42:47,neutro,negativo,-0.833,0,1,0,0,False,0,1.0,False,False,False
leonelrincon,661,084 Campeón,rosa,4,"Decentes los 084 Campeón, no son los mejores pero cumplen 🙂",facebook,232,True,False,2024-04-26 15:56:35,positivo,neutro,0.111,1,1,1,0,False,0,1.0,False,False,False
mauro30,503,084 Diamante,azul,5,"Los mejores tenis que he tenido!! Los 084 Diamante son cómodos, bonitos y baratos 👌🔥",twitter,74,False,False,2022-12-27 08:19:20,positivo,positivo,0.9,3,0,2,0,False,2,1.2,False,False,True
rmendez,96,Perestroika,gris,5,MARAVILLOSOS los Perestroika 😍 como caminar en nubes ☁️☁️ los amo,facebook,69,True,False,2021-12-07 23:54:28,positivo,positivo,0.76,2,0,3,0,True,0,1.2,False,False,True
anel86,1336,084,azul,2,Pésima atención y los 084 llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,amazon,116,True,True,2025-11-27 06:39:51,negativo,negativo,-0.792,0,2,0,2,False,0,1.0,False,True,True
andres14,580,Gran Prix,azul,2,Horrible calidad los Gran Prix 😠 ni para regalar #malacompra #panam,google_reviews,24,True,True,2022-11-12 02:30:10,negativo,negativo,-0.25,1,1,0,1,False,0,1.0,False,False,True
augusto19,79,Caimán,azul,5,Por fin unos tenis que duran! Los Caimán ya tienen 8 meses y siguen como nuevos 💪,twitter,4,False,True,2025-01-15 10:56:37,positivo,positivo,0.55,0,0,1,0,False,1,1.1,False,False,True
zeferino69,180,Perestroika,blanco,5,"Cumple lo prometido, los Perestroika están bien para el uso diario 👍🏼",tiktok,49,False,True,2025-09-11 05:59:19,positivo,positivo,0.611,1,0,2,0,False,0,1.0,False,False,True
olmosmitzy,487,084 Clásico,gris,5,Me encantaron mis 084 Clásico 😍🔥 súper cómodos para todo el día!! #Panam #Calzado,facebook,19,True,False,2022-12-17 20:49:19,positivo,positivo,0.98,3,0,2,0,False,2,1.2,False,False,True
benjamin60,517,Barracuda,azul,1,Muy decepcionada con mis Barracuda 💔 esperaba muchísimo más por el precio que pagué 🙄,twitter,4,False,False,2025-10-07 15:35:32,negativo,negativo,-0.667,0,1,0,2,False,0,1.0,False,False,True
asuncionprado,521,084,negro,5,Por fin unos tenis que duran! Los 084 ya tienen 8 meses y siguen como nuevos 💪,facebook,39,False,True,2021-12-09 17:08:47,positivo,positivo,0.55,0,0,1,0,False,1,1.1,False,False,True
rosa51,28,RL15,verde,4,"Decentes los RL15, no son los mejores pero cumplen 🙂",facebook,7,False,True,2023-11-25 09:10:22,positivo,neutro,0.111,1,1,1,0,False,0,1.0,False,False,False
virginia65,78,Urbano,beige,2,Pésima atención y los Urbano llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,facebook,5,True,False,2024-10-07 12:40:08,negativo,negativo,-0.792,0,2,0,2,False,0,1.0,False,False,True
maria-luisa23,57,Vital,gris,5,"Decentes los Vital, no son los mejores pero cumplen 🙂",google_reviews,4,False,False,2024-12-02 14:16:20,positivo,neutro,0.111,1,1,1,0,False,0,1.0,False,False,False
ndelgado,236,084 Diamante,gris,3,Buena calidad los 084 Diamante pero la entrega tardó 3 semanas 😑 ojo con eso,tiktok,23,False,True,2026-03-09 11:05:06,mixto,neutro,0.146,2,1,0,1,False,0,1.0,False,False,True
cristal80,35,Perestroika,azul,2,"Los Perestroika cumplen, los uso para diario nomás",google_reviews,22,True,False,2023-12-06 10:04:48,neutro,positivo,0.833,1,0,0,0,False,0,1.0,False,False,False
luis-miguel69,96,084 Diamante,beige,2,PÉSIMOS los 084 Diamante 😡 se descosió la suela en 2 semanas 👎👎 NO COMPREN,tiktok,118,True,False,2024-02-01 12:09:56,negativo,negativo,-1.0,0,2,0,3,True,0,1.4,False,True,True
cquintanilla,143,Panam Alfa,verde,4,Mis Panam Alfa son LO MEJOR que he comprado en años 😍 calidad/precio insuperable ⭐⭐⭐⭐⭐,google_reviews,2,False,False,2023-03-01 06:15:10,positivo,positivo,0.875,2,0,6,0,True,0,1.2,False,False,True
qde-la-o,83,084 Campeón,azul,4,Me encantaron mis 084 Campeón 😍🔥 súper cómodos para todo el día!! #Panam #Calzado,amazon,52,True,False,2022-01-24 18:20:05,positivo,positivo,0.98,3,0,2,0,False,2,1.2,False,False,True
laura95,119,Vaivén,beige,2,Horrible calidad los Vaivén 😠 ni para regalar #malacompra #panam,facebook,16,True,True,2022-02-20 10:58:31,negativo,negativo,-0.25,1,1,0,1,False,0,1.0,False,False,True
yolandamarin,331,084 Clásico,azul,3,"Compré los 084 Clásico, son tenis. Punto.",tiktok,49,True,False,2023-04-04 05:56:36,neutro,neutro,0.0,0,0,0,0,False,0,1.0,False,False,True
ignacioalvarado,232,SuperFaro,verde,5,"Buenos los SuperFaro, me gustaron 👍 cumplen lo prometido",amazon,3,True,False,2021-09-26 21:27:58,positivo,positivo,0.75,3,0,1,0,False,0,1.0,False,False,True
guillerminabeltran,152,SuperFaro,gris,1,Terrible experiencia con los SuperFaro 💔 mala calidad y peor servicio al cliente 😡,tiktok,37,True,True,2025-03-21 05:48:43,negativo,negativo,-0.542,1,3,0,2,False,0,1.0,False,False,True
mvelasquez,11007,Vital,rojo,1,Muy decepcionada con mis Vital 💔 esperaba muchísimo más por el precio que pagué 🙄,amazon,43,True,False,2024-08-11 07:01:52,negativo,negativo,-0.667,0,1,0,2,False,0,1.0,True,False,True
ppabon,31,084,gris,4,"Regulares los 084, esperaba un poquito más pero también un poquito menos",tiktok,4,True,False,2022-08-07 19:14:17,neutro,negativo,-0.833,0,1,0,0,False,0,1.0,False,False,False
carbajaldulce-maria,11844,Caimán,negro,2,Cómodos los Caimán pero el color destiñe en 2 lavadas 😕 mitad y mitad,tiktok,16,True,False,2023-03-17 05:29:57,mixto,neutro,-0.139,1,1,0,1,False,0,1.0,True,False,True
leticiarivera,29,Panam Alfa,gris,5,Bonitos los Panam Alfa 👌 buen precio para la calidad,tiktok,21,True,False,2021-10-09 08:04:31,positivo,positivo,0.722,2,0,1,0,False,0,1.0,False,False,True
germanreyes,293,084,negro,2,Muy decepcionada con mis 084 💔 esperaba muchísimo más por el precio que pagué 🙄,facebook,18,True,False,2022-06-24 14:00:19,negativo,negativo,-0.667,0,1,0,2,False,0,1.0,False,False,True
jtamez,6325,Vital,gris,4,"Los Vital están ok, nada del otro mundo 🤷",facebook,2,True,True,2024-01-17 02:58:18,neutro,neutro,0.0,0,0,0,0,False,0,1.0,True,False,True
bsantana,10,Gran Prix,blanco,3,"Los Gran Prix cumplen, los uso para diario nomás",amazon,40,True,True,2026-01-02 11:48:54,neutro,positivo,0.833,1,0,0,0,False,0,1.0,False,False,False
